% NTS
%Depth	Dip_Direction from north	Dip_Angle	Criticality
1839.3	 301.7		 43			 0
1938.5   129.4       58.3        1
1942.2   217.699997  33.400002   0
1945.4   124.300003  22.799999   0
1950.9   103.699997  28.299999   0
1951.4   199.699997  45.5        0
1953.4   109.7       71.2        1
1954.4   282         58.1        0
1958.9   295.700012  32.200001   0
1960.0   248.600006  69.599998   0
1961.5   218.600006  74.800003   0
1966.7   202.300003  75.400002   0
1976.0   71.699997   75.199997   0
1977.4   24.700001   71.699997   0
1985.4   186         53.3        0
1986.7   31.6        47.900002   0
1986.8   47.799999   43          0
1987.4   83.599998   57.599998   0
1989.0   233.699997  70          0
1989.4   255.100006  53.299999   0
1990.3   249.100006  56.599998   0
1994.0   0.9         28.4        0
1995.9   148.3       45.4        0
1996.9   300         6           0
1997.7   48          75.900002   0
1998.5   49.700001   75.900002   0
1999.6   42.900002   79.599998   0
2005.8   203.100006  71.199997   0
2007     300.9       43.4        0
2012.8   331.700012  32.200001   0
2013.9   190.3       67.3        1
2021.3   96.900002   21.200001   0
2023.1   104.599998  30.200001   0
2027.0   228.899994  44.200001   0
2028.2   30.9        35.5        0
2031.5   144         27.4        0
2032.5   207.399994  27.4        0
2033.3   299.700012  39.5        0
2037.6   42.200001   66.699997   0
2038.7   356.6       57.6        1
2039.6   46.5        44.299999   0
2040.7   225.600006  74.5        0
2051.9   291.100006  58.799999   1
2052.8   329.9       57.6        1
2054.9   291.399994  40.299999   0
2056.0   240         61.400002   0
2058.6   94.300003   44.700001   0
2059.9   260.600006  79.400002   0
2060.0   246.899994  77.099998   0
2064.1   264         51.799999   0
2065.1   97.699997   23          0
2066.5   244.300003  63.200001   0
2068.7   272.6       59.4        0
2069.1   105.400002  29.5        0
2073.0   337.700012  51.799999   1
2073     337.7       51.8        1
2073.7   143.100006  43.5        0
2074.2   159.399994  23.700001   0
2075.6   110.599998  33.299999   0
2076.9   85.699997   49.400002   0
2077.1   95.099998   30.299999   0
2079.5   24.9        63.099998   0
2081.6   300         30.299999   0
2082.1   138.899994  27.1        0
2083.7   329.1       56.9        1
2087.1   338.600006  16.299999   0
2088.3   341.100006  60.299999   1
2089.1   235.699997  66.199997   0
2097.2   255.399994  48.299999   0
2099.4   259.700012  43.099998   0
2101.7   282         33.200001   0
2105.3   242.600006  73.400002   0
2105.9   197.1       79.2        0
2106.4   173.1       56.2        1
2110.8   57.400002   0           0
2111.2   347.700012  31.9        0
2115.2   235.199997  45.5        0
2122.8   152         48.6        0
2124.5   249.5       27.1        0
2125.2   353.899994  27.1        0
2128     7.5         44.1        0
2128.5   10.2        65.8        1
2129.1   31.4        51.400002   0
2133.4   321.100006  27.1        0
2135.5   26.6        29.700001   0
2139.6   192.300003  44.099998   0
2141.1   279.200012  51.299999   0
2142.7   84.199997   29.5        0
2142.9   334.9       51.3        1
2142.9   334.899994  51.299999   1
2143.1   108.699997  48.599998   0
2143.7   334.899994  29.5        0
2144.8   127.699997  47.099998   0
2145.1   142.600006  47.099998   0
2146.8   57.099998   69          0
2149.8   233.699997  75          0
2150.3   227.5       47.099998   0
2153.3   146.7       66.2        1
2154.2   358.6       67.7        1
2171.8   264.899994  57          0
2173.4   134.5       70.1        1
2176.0   233         75          0
2177.6   286         66.4        1
2178.9   284.600006  61.700001   1
2180.0   83.5        56.099998   0
2181.4   258.100006  51.900002   0
2183.3   234.300003  25.6        0
2191.2   44.200001   45.700001   0
2192.2   246.600006  58.299999   0
2195.3   253.399994  69.599998   0
2199.0   218.699997  38.900002   0
2200.2   53          62.099998   0
2208.6   72.099998   16          0
2209.4   110.599998  32.200001   0
2212.3   65.300003   29.799999   0
2213.2   186.9       55.1        0
2214.2   278.200012  34.5        0
2234.4   175.9       38.4        0
2235.4   275.899994  40.400002   0
2236.1   303.399994  21.6        0
2241.0   233.100006  27          0
2243.4   142.8       52.5        1
2246.7   57.200001   29.5        0
2247.8   142         22.200001   0
2248.3   215.300003  36.400002   0
2250.2   115.900002  26.799999   0
2251.6   97.5        51.6        0
2256.9   181.399994  32.299999   0
2257.4   43.599998   3.6         0
2257.9   244.100006  29.6        0
2258.7   17.700001   47          0
2259.7   118.6       55.4        1
2263.2   314.299988  23.799999   0
2264.7   226.399994  29.6        0
2268.1   80.400002   63.799999   0
2283.7   284.600006  49.900002   0
2284.5   108.699997  17.9        0
2285.7   277.799988  64          0
2286.5   93.699997   39          0
2288.1   275.100006  28.4        0
2289.4   30.6        44.200001   0
2291.0   110.699997  44.200001   0
2293     189.5       61.4        1
2293.4   186.8       64          1
2293.6   184.1       57.4        1
2301.7   83.5        76.400002   0
2302.1   95.099998   72.800003   0
2303.1   115.5       56.4        1
2303.4   112.1       54.4        1
2308.5   173.199997  26.700001   0
2309.0   213.300003  24.1        0
2310.3   198.3       64.4        0
2312.0   281.899994  21.6        0
2315.5   288         34.099998   0
2316.4   198.300003  26.9        0
2317.3   334.899994  26.9        0
2318.2   312.5       43.8        0
2319.1   257.399994  53.599998   0
2322.5   217.399994  12.7        0
2323.2   358         12.7        0
2324.2   147.399994  31.799999   0
2327.6   299.5       57.9        1
2328.1   297.5       62.400002   1
2330.9   95.800003   36.700001   0
2331.9   91          23.1        0
2332.5   90.300003   49.5        0
2334.1   193.6       36.7        0
2336.3   269.700012  42.099998   0
2338     210.6       54.1        0
2341.8   68.599998   42.200001   0
2342.8   182.699997  24.4        0
2346.8   259.5       60.299999   0
2347.4   216         43.900002   0
2350     226.2       6.5         0
2351.3   270.299988  56.799999   0
2352.4   251.300003  6.5         0
2355.3   254         31.9        0
2363.7   277.5       57.099998   0
2364.2   339.1       74          1
2365.6   149.9       61.4        1
2366.4   167.6       73          1
2367.1   172.1       59.4        1
2368.1   34          38.799999   0
2369.5   135.5       52.3        1
2369.6   303.7       46.9        0
2371.1   231.699997  34          0
2372.7   289.299988  31.799999   0
2373.4   258.5       18.700001   0
2374.5   258.5       34          0
2375.6   242.199997  24.200001   0
2376.9   249.399994  12.7        0
2377.5   261.799988  31.799999   0
2384.8   299.799988  45.099998   0
2385.6   318.100006  37.900002   0
2386.6   267.100006  12.6        0
2387.8   277.5       59.099998   0
2388.5   282.799988  29.1        0
2389.2   272.299988  37.900002   0
2390.4   293.200012  69.900002   1
2390.6   314.8       73.2        1
2391.9   265.100006  35.900002   0
2392.4   245.5       31.700001   0
2393.3   202.300003  38.099998   0
2395.0   273.600006  26.799999   0
2396.9   261.799988  26.799999   0
2397.7   295.899994  24.200001   0
2398.7   240.899994  36.099998   0
2399.2   236.899994  33.900002   0
2400.0   240.899994  24.200001   0
2401.6   239.6       19.7        0
2410.6   223.199997  19.700001   0
2411.2   194.4       30.9        0
